id,name,programId,levelId,openings,futureOpenings,dayNumber,startTime,endTime,dayName,location,location.short,level,helper,helper2
3159,Swish! Aqua Studio - Outdoor Pool: Private Lessons with Coach Ian W.,61,21,0,0,7,8:00 AM,8:30AM,Sat,Aqua Studio - Outdoor Pool,Aqua Studio,Private Lessons,Sat|Aqua Studio - Outdoor Pool|Private Lessons|8:00 AM,Sat|Aqua Studio|Private Lessons|8:00 AM
3018,Swish! Hub - Indoor Pool: Mini Fini 1 ( 4 - 9 months) with Coach Amelia F.,66,3,5,0,5,10:30 AM,11:00AM,Thu,Hub - Indoor Pool,Hub,Mini Fini 1 ( 4 - 9 months),Thu|Hub - Indoor Pool|Mini Fini 1 ( 4 - 9 months)|10:30 AM,Thu|Hub|Mini Fini 1 ( 4 - 9 months)|10:30 AM
2781,Swish! Aqua Studio - Outdoor Pool: Mini Fini 1 ( 4 - 9 months) with Coach Cal C.,61,3,3,0,2,10:30 AM,11:00AM,Mon,Aqua Studio - Outdoor Pool,Aqua Studio,Mini Fini 1 ( 4 - 9 months),Mon|Aqua Studio - Outdoor Pool|Mini Fini 1 ( 4 - 9 months)|10:30 AM,Mon|Aqua Studio|Mini Fini 1 ( 4 - 9 months)|10:30 AM
627,Swish! Hub - Indoor Pool: Mini Fini 1 ( 4 - 9 months) with Coach Amelia F.,66,3,3,0,5,9:00 AM,9:30AM,Thu,Hub - Indoor Pool,Hub,Mini Fini 1 ( 4 - 9 months),Thu|Hub - Indoor Pool|Mini Fini 1 ( 4 - 9 months)|9:00 AM,Thu|Hub|Mini Fini 1 ( 4 - 9 months)|9:00 AM
3221,Swish! Hub - Indoor Pool: Mini Fini 1 ( 4 - 9 months) with Coach Muhammad Danial B.,66,3,3,0,6,10:30 AM,11:00AM,Fri,Hub - Indoor Pool,Hub,Mini Fini 1 ( 4 - 9 months),Fri|Hub - Indoor Pool|Mini Fini 1 ( 4 - 9 months)|10:30 AM,Fri|Hub|Mini Fini 1 ( 4 - 9 months)|10:30 AM
3135,Swish! Hub - Indoor Pool: Mini Fini 1 ( 4 - 9 months) with Coach Trisha N.,66,3,1,0,1,2:00 PM,2:30PM,Sun,Hub - Indoor Pool,Hub,Mini Fini 1 ( 4 - 9 months),Sun|Hub - Indoor Pool|Mini Fini 1 ( 4 - 9 months)|2:00 PM,Sun|Hub|Mini Fini 1 ( 4 - 9 months)|2:00 PM
2378,Swish! Hub - Indoor Pool: Mini Fini 1 ( 4 - 9 months) with Coach Ryan L.,66,3,0,0,1,9:00 AM,9:30AM,Sun,Hub - Indoor Pool,Hub,Mini Fini 1 ( 4 - 9 months),Sun|Hub - Indoor Pool|Mini Fini 1 ( 4 - 9 months)|9:00 AM,Sun|Hub|Mini Fini 1 ( 4 - 9 months)|9:00 AM
996,Swish! Hub - Sheltered Pool: Mini Fini 1 ( 4 - 9 months) with Coach Cal C.,17,3,0,0,1,11:00 AM,11:30AM,Sun,Hub - Sheltered Pool,Hub,Mini Fini 1 ( 4 - 9 months),Sun|Hub - Sheltered Pool|Mini Fini 1 ( 4 - 9 months)|11:00 AM,Sun|Hub|Mini Fini 1 ( 4 - 9 months)|11:00 AM
3106,Swish! Aqua Studio - Outdoor Pool: Mini Fini 1 ( 4 - 9 months) with Coach Cal C.,61,3,0,0,4,10:30 AM,11:00AM,Wed,Aqua Studio - Outdoor Pool,Aqua Studio,Mini Fini 1 ( 4 - 9 months),Wed|Aqua Studio - Outdoor Pool|Mini Fini 1 ( 4 - 9 months)|10:30 AM,Wed|Aqua Studio|Mini Fini 1 ( 4 - 9 months)|10:30 AM
2832,Swish! Hub - Sheltered Pool: Mini Fini 1 ( 4 - 9 months) with Coach Ernest K.,17,3,0,0,7,10:30 AM,11:00AM,Sat,Hub - Sheltered Pool,Hub,Mini Fini 1 ( 4 - 9 months),Sat|Hub - Sheltered Pool|Mini Fini 1 ( 4 - 9 months)|10:30 AM,Sat|Hub|Mini Fini 1 ( 4 - 9 months)|10:30 AM
988,Swish! Hub - Sheltered Pool: Mini Fini 1 ( 4 - 9 months) with Coach Caleb Y.,17,3,0,0,7,11:00 AM,11:30AM,Sat,Hub - Sheltered Pool,Hub,Mini Fini 1 ( 4 - 9 months),Sat|Hub - Sheltered Pool|Mini Fini 1 ( 4 - 9 months)|11:00 AM,Sat|Hub|Mini Fini 1 ( 4 - 9 months)|11:00 AM
